countries,oil,gas,coal,nuclear,hydro,renewables,total
Canada,4.26,4.05,0.5,0.87,3.42,0.54,13.63
Mexico,2.46,3.11,0.21,0.1,0.24,0.36,6.48
United States,32.54,29.95,9.2,7.39,2.56,6.15,87.79
Total North America,39.27,37.11,9.91,8.35,6.22,7.04,107.9
Argentina,1.03,1.58,0.03,0.09,0.27,0.13,3.15
Brazil,4.61,1.16,0.58,0.14,3.52,2.01,12.01
Chile,0.69,0.22,0.3,n/a,0.18,0.21,1.61
Colombia,0.55,0.5,0.27,n/a,0.39,0.05,1.77
Ecuador,0.4,0.02,n/a,n/a,0.22,0.01,0.65
Peru,0.4,0.25,0.02,n/a,0.27,0.05,1
Trinidad & Tobago,0.08,0.54,n/a,n/a,n/a,0,0.62
Venezuela,0.48,0.68,0,n/a,0.28,0,1.44
Other S. & Cent. America,2.37,0.29,0.28,n/a,0.72,0.29,3.95
Total S. & Cent. America,10.62,5.24,1.48,0.23,5.87,2.75,26.19
Austria,0.48,0.31,0.09,n/a,0.36,0.14,1.38
Belgium,0.93,0.61,0.11,0.31,0,0.23,2.19
Czech Republic,0.37,0.3,0.49,0.27,0.02,0.09,1.54
Finland,0.35,0.07,0.13,0.21,0.14,0.19,1.1
France,2.68,1.46,0.19,3.14,0.54,0.68,8.7
Germany,4.21,3.12,1.84,0.57,0.17,2.21,12.11
Greece,0.51,0.21,0.11,n/a,0.03,0.14,1
Hungary,0.33,0.37,0.07,0.14,0,0.06,0.97
Italy,2.13,2.44,0.21,n/a,0.41,0.67,5.86
Netherlands,1.51,1.32,0.18,0.04,0,0.33,3.37
Norway,0.37,0.16,0.03,n/a,1.25,0.11,1.93
Poland,1.28,0.78,1.67,n/a,0.02,0.27,4.01
Portugal,0.41,0.22,0.02,n/a,0.11,0.17,0.93
Romania,0.44,0.41,0.15,0.1,0.13,0.1,1.33
Spain,2.21,1.17,0.07,0.52,0.24,0.77,4.97
Sweden,0.55,0.04,0.07,0.48,0.65,0.41,2.2
Switzerland,0.37,0.12,0,0.2,0.33,0.05,1.08
Turkey,1.82,1.67,1.66,n/a,0.69,0.45,6.29
Ukraine,0.45,1.06,0.98,0.68,0.06,0.09,3.31
England,2.39,2.61,0.19,0.45,0.06,1.2,6.89
Other Europe,2.28,1.07,1.1,0.34,0.59,0.6,5.97
Total Europe,26.07,19.48,9.4,7.44,5.82,8.94,77.15
Azerbaijan,0.18,0.43,0,n/a,0.01,0,0.62
Belarus,0.28,0.64,0.06,n/a,0,0,0.98
Kazakhstan,0.75,0.6,1.64,n/a,0.09,0.03,3.11
Russia,6.39,14.81,3.27,1.92,1.89,0.04,28.31
Turkmenistan,0.28,1.13,n/a,n/a,0,0,1.4
Uzbekistan,0.16,1.55,0.1,n/a,0.06,0,1.87
Other CIS,0.16,0.22,0.11,0.02,0.31,0,0.82
Total CIS,8.19,19.38,5.17,1.94,2.36,0.08,37.12
Iran,3.31,8.39,0.07,0.06,0.19,0.01,12.03
Iraq,1.29,0.75,n/a,n/a,0.02,0,2.06
Israel,0.42,0.41,0.17,n/a,n/a,0.05,1.05
Kuwait,0.76,0.74,0,n/a,n/a,0,1.51
Oman,0.42,0.93,0.01,n/a,n/a,0,1.37
Qatar,0.45,1.26,n/a,n/a,n/a,0,1.71
Saudi Arabia,6.51,4.04,0,n/a,n/a,0.01,10.56
United Arab Emirates,1.51,2.51,0.11,0.01,n/a,0.05,4.19
Other Middle East,1.03,0.86,0.01,n/a,0.02,0.04,1.96
Total Middle East,15.71,19.88,0.38,0.07,0.23,0.17,36.44
Algeria,0.72,1.55,0.02,n/a,0,0.01,2.3
Egypt,1.33,2.08,0.03,n/a,0.12,0.09,3.65
Morocco,0.5,0.03,0.28,n/a,0.01,0.06,0.88
South Africa,1.02,0.15,3.48,0.14,0,0.11,4.9
Other Africa,3.62,1.7,0.3,n/a,1.13,0.11,6.86
Total Africa,7.19,5.51,4.11,0.14,1.27,0.38,18.58
Australia,1.83,1.47,1.69,n/a,0.13,0.45,5.57
Bangladesh,0.33,1.1,0.15,n/a,0.01,0,1.59
China,28.5,11.9,82.27,3.25,11.74,7.79,145.46
China Hong Kong SAR,0.61,0.18,0.14,n/a,n/a,0,0.93
India,9.02,2.15,17.54,0.4,1.45,1.43,31.98
Indonesia,2.81,1.5,3.26,n/a,0.17,0.37,8.1
Japan,6.49,3.76,4.57,0.38,0.69,1.13,17.03
Malaysia,1.38,1.37,1.14,n/a,0.18,0.04,4.11
New Zealand,0.3,0.16,0.06,n/a,0.22,0.1,0.84
Pakistan,0.88,1.48,0.62,0.08,0.36,0.04,3.47
Philippines,0.75,0.14,0.73,n/a,0.06,0.15,1.82
Singapore,2.93,0.45,0.02,n/a,n/a,0.01,3.42
South Korea,4.9,2.04,3.03,1.42,0.03,0.36,11.79
Sri Lanka,0.21,n/a,0.07,n/a,0.04,0.01,0.33
Taiwan,1.89,0.9,1.63,0.28,0.03,0.09,4.82
Thailand,2.39,1.69,0.73,n/a,0.04,0.28,5.12
Vietnam,0.98,0.31,2.1,n/a,0.61,0.08,4.09
Other Asia Pacific,0.94,0.42,1.23,n/a,0.64,0.02,3.25
Total Asia Pacific,67.15,31.02,120.97,5.82,16.41,12.36,253.72
Total World,174.2,137.62,151.42,23.98,38.16,31.71,557.1
